SMILES,Agonist_Activity,SMILES_raw
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,active,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,active,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1
O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,active,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl
O=C1C=CC(=O)c2ccccc21,active,C1=CC=C2C(=O)C=CC(=O)C2=C1
c1ccc2occc2c1,active,C1=CC=C2C(=C1)C=CO2
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,active,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3
c1ccc2cc3c(ccc4ccccc43)cc2c1,active,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,active,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,active,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,active,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)[N+](=O)[O-]
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,active,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32
Oc1ccc2ccccc2c1N=Nc1ccccc1,active,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O
O=C(O)c1cc(O)c2ccccc2c1O,active,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,active,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1
Cc1ccc(O)c(N)c1,active,CC1=CC(=C(C=C1)O)N
CN(C)c1ccc(N=O)cc1,active,CN(C)C1=CC=C(C=C1)N=O
O=c1cc(-c2ccccc2)oc2ccccc12,active,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2
CNC(=O)O/N=C/C(C)(C)SC,active,CC(C)(/C=N/OC(=O)NC)SC
CN(C)c1ccc(N=NS(=O)(=O)O)cc1,active,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+]
c1ccc(N=NNc2ccccc2)cc1,active,C1=CC=C(C=C1)NN=NC2=CC=CC=C2
Nc1ccccc1O,active,C1=CC=C(C(=C1)N)O
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,active,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]
Nc1cc(Cl)ccc1O,active,C1=CC(=C(C=C1Cl)N)O
Oc1c(I)cc(Cl)c2cccnc12,active,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
CNC(=O)Oc1cccc2ccccc12,active,CNC(=O)OC1=CC=CC2=CC=CC=C21
Cc1cc(N=Nc2ccccc2C)ccc1N,active,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C
Nc1ccc(N=Nc2ccccc2)c(N)n1,active,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl
Nc1ccc(Cl)cc1N,active,C1=CC(=C(C=C1Cl)N)N
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,active,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
NCCNc1cccc2ccccc12,active,C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl
c1ccc2c(c1)ccc1c3ccccc3ccc21,active,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43
N=C(Nc1ccccc1)Nc1ccccc1,active,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,active,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N
COc1ccc(N=[N+]([O-])c2ccc(OC)cc2)cc1,active,COC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OC)[O-]
Nc1ccccc1N,active,C1=CC=C(C(=C1)N)N
CN(C)c1ccc(N)cc1,active,CN(C)C1=CC=C(C=C1)N
O=C(Nc1ccccc1)Nc1ccccc1,active,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2
COc1cc(/C=C/c2ccccc2)oc(=O)c1,active,COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2
S=C=Nc1cccc2ccccc12,active,C1=CC=C2C(=C1)C=CC=C2N=C=S
O=C(O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O,active,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C(=O)O)[N+](=O)[O-]
Cc1ccc(N)cc1O,active,CC1=C(C=C(C=C1)N)O
Cc1ccc(N)c(N)c1,active,CC1=CC(=C(C=C1)N)N
Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,active,CC1=CC(=CC(=C1N)C)C2=CC(=C(C(=C2)C)N)C
CCOc1ccc2nc(N)sc2c1,active,CCOC1=CC2=C(C=C1)N=C(S2)N
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,active,CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N)S(=O)(=O)O
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,active,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
CN(C)c1ccc(N=Nc2ccccc2)cc1,active,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,active,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl
c1ccc(Nc2ccc3ccccc3c2)cc1,active,C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,active,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N
Nc1cccc2c(N)cccc12,active,C1=CC2=C(C=CC=C2N)C(=C1)N
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,active,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,active,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,active,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl,active,CCOP(=O)(OCC)O/C(=C/Cl)/C1=C(C=C(C=C1)Cl)Cl
Cc1cc(C2CC2)nc(Nc2ccccc2)n1,active,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,active,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl
CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,active,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,active,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,active,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O
CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,active,CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C
CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,active,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl
O=C(Nc1ccccc1)c1ccccc1O,active,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2O
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,active,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O
COc1ccc(/C=C/c2cc(OC)cc(=O)o2)cc1,active,COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=O)O2)OC
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,active,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
