SMILES,Agonist_Activity
C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,Active
C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,Active
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Active
C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active
C1=CC=C2C(=O)C=CC(=O)C2=C1,Active
C1=CC=C2C(=C1)C=CO2,Active
C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Active
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,Active
C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Active
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,Active
CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)[N+](=O)[O-],Active
C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,Active
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Active
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,Active
C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,Active
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,Active
C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Active
CC1=CC(=C(C=C1)O)N,Active
CN(C)C1=CC=C(C=C1)N=O,Active
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,Active
CC(C)(/C=N/OC(=O)NC)SC,Active
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,Active
CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],Active
C1=CC=C(C=C1)NN=NC2=CC=CC=C2,Active
C1=CC=C(C(=C1)N)O,Active
CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active
C1=CC(=C(C=C1Cl)N)O,Active
C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Active
CNC(=O)OC1=CC=CC2=CC=CC=C21,Active
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Active
C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Active
C1=CC(=C(C=C1Cl)N)N,Active
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active
C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,Active
C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,Active
C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active
C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,Active
COC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OC)[O-],Active
C1=CC=C(C(=C1)N)N,Active
CN(C)C1=CC=C(C=C1)N,Active
C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,Active
C1=CC=C(C=C1)NN=NC2=CC=CC=C2,Active
COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2,Active
C1=CC=C2C(=C1)C=CC=C2N=C=S,Active
C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C(=O)O)[N+](=O)[O-],Active
CC1=C(C=C(C=C1)N)O,Active
CC1=CC(=C(C=C1)N)N,Active
CC1=CC(=CC(=C1N)C)C2=CC(=C(C(=C2)C)N)C,Active
CCOC1=CC2=C(C=C1)N=C(S2)N,Active
CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N)S(=O)(=O)O,Active
C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,Active
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,Active
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,Active
C1=CC(=C(C=C1Cl)N)N,Active
CNC(=O)OC1=CC=CC2=CC=CC=C21,Active
C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2,Active
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,Active
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Active
CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,Active
C1=CC2=C(C=CC=C2N)C(=C1)N,Active
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,Active
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,Active
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F,Active
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Active
CCOP(=O)(OCC)O/C(=C/Cl)/C1=C(C=C(C=C1)Cl)Cl,Active
CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3,Active
C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,Active
CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2,Active
CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,Active
C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,Active
CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C,Active
CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,Active
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2O,Active
CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,Active
COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=O)O2)OC,Active
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Active
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2N,Active
CCN(CC)C1=CC=C(C=C1)N,Active
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,Active
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N.O.Cl,Active
C1=CC=C(C=C1)C2=CSC(=N2)N.O.Br,Active
CCCC=C,Active
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,Active
C1=CC=C(C=C1)NC2=CC3=CC=CC=C3C=C2,Active
C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Active
C1=CC=C2C(=C1)C=CC=C2N,Active
CC1=C(C=C(C=C1)N)N,Active
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,Active
C1=CC=C2C(=C1)C=CO2,Active
CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,Active
CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,Active
CNC(=O)N(C)C1=NC2=CC=CC=C2S1,Active
CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,Active
CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C,Active
CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1,Active
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Active
CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,Inconclusive
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,Inconclusive
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,Inconclusive
C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N.Cl,Inconclusive
CC1=CC2=C(C=C1C)SC(=N2)N,Inconclusive
C1C=C2C(=CC(=O)O2)C(O1)O,Inconclusive
CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2,Inconclusive
C1=CC=C(C=C1)OC(=O)C2=CC(=CC=C2)C(=O)OC3=CC=CC=C3,Inconclusive
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,Inconclusive
C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,Inconclusive
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,Inconclusive
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],Inconclusive
CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2,Inconclusive
CCCCOCC1CO1,Inconclusive
C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N,Inconclusive
,Inconclusive
