PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0005215015 uM,Activity at 0.00156 uM,Activity at 0.00466 uM,Activity at 0.00590 uM,Activity at 0.014 uM,Activity at 0.042 uM,Activity at 0.068 uM,Activity at 0.127 uM,Activity at 0.378 uM,Activity at 0.782 uM,Activity at 1.156 uM,Activity at 3.420 uM,Activity at 5.843 uM,Activity at 10.21 uM,Activity at 30.24 uM,Activity at 43.68 uM,Activity at 92.27 uM,Activity at 218.9 uM,Activity at 489.4 uM,Activity at 1094.5 uM,Activity at 2447.4 uM,Activity at 5811.1 uM,Activity at 12995.4 uM,Activity at 29059.9 uM,Activity at 64977.0 uM,Compound QC
1,26752812,9158,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,Active,100,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090832-02/37963824,,Activator,2.5119,523.681,,100,Complete curve; high efficacy,-5.6,2.3332,0.9907,537.683,14.0022,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,560.417,,0.4547,0.3304,2.7498,5.0298,9.4564,12.5118,31.0143,43.062,61.5637,147.682,370.568,548.912,,530.308,484.438,560.417,,,,,,,,,QC'd by SigmaAldrich
2,17389160,9158,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,Active,99,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07930266-01/37961023,,Activator,2.8184,359.931,,99,Complete curve; high efficacy,-5.55,1.8851,0.997,370.517,10.5862,1.1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,234.132,0.1262,,1.6614,,6.0361,9.7923,11.2473,19.9757,26.4652,48.6993,115.051,,263.228,336.894,352.999,147.221,234.132,,,,,,,,,QC'd by NIEHS/NTP
3,26752824,9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Active,93,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090866-02/37963870,,Activator,10,518.743,,93,Complete curve; high efficacy,-5,1.9282,0.9966,520.872,2.1286,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,498.439,,0.911,0.2678,0.0452,1.993,1.3154,-2.3998,0.2896,4.1133,8.37,22.5654,89.951,191.588,,419.68,498.295,498.439,,,,,,,,,QC'd by SigmaAldrich
4,26752211,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,92,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00025193-06/37964005,,Activator,14.1254,677.102,,92,Complete curve; high efficacy,-4.85,1.5936,0.9971,680.413,3.3103,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,680.336,,0.1748,-0.0765,1.317,1.6668,1.0726,0.7806,1.3281,2.8139,7.5946,29.3152,83.8329,193.855,,434.25,558.466,680.336,,,,,,,,,QC'd by SigmaAldrich
5,26757484,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,Active,85,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164067-01/37962880,,Activator,15.8489,322.696,,85,Complete curve; high efficacy,-4.8,2.1211,0.9924,325.37,2.6742,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,323.532,,-0.5972,-0.9647,-0.3076,0.1127,-0.8019,-1.8386,-0.5993,0.6127,0.6481,9.7588,42.3673,69.6598,,172.673,303.304,323.532,,,,,,,,,QC'd by SigmaAldrich
6,26752901,9223,C1=CC=C2C(=C1)C=CO2,Active,82,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00091088-02/37963106,,Activator,1258.93,518.619,,82,Partial curve; high efficacy,-2.9,2.7202,0.9773,527.125,8.5065,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,455.909,,,,,,0.4576,0.5643,1.0728,1.5784,2.7045,-2.4606,0.5086,2.484,,4.34,7.6329,25.5833,35.8671,85.0162,165.674,455.909,,,,,QC'd by EPA
7,26753730,638024,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Active,82,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00094872-03/37962898,,Activator,14.1254,140.24,,82,Complete curve; high efficacy,-4.85,1.9282,0.9966,139.621,-0.6195,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,137.941,,-0.2021,0.5603,-1.132,-0.1443,-0.6365,-1.6797,0.1515,-1.3578,-0.7015,1.369,13.24,39.4951,,80.0967,129.12,137.941,,,,,,,,,QC'd by SigmaAldrich
8,26757659,5954,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,Active,82,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164242-01/37963706,,Activator,22.3872,285.476,,82,Complete curve; high efficacy,-4.65,1.9673,0.9966,285.502,0.0262,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,259.668,,-0.5181,-0.2703,-0.4695,-1.0646,0.0622,-0.6758,0.1128,1.3811,0.569,8.302,13.3905,27.7852,,115.443,231.408,259.668,,,,,,,,,QC'd by SigmaAldrich
9,26751461,6731,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Active,77,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00021766-03/37963695,,Activator,7.0795,1125.94,,77,Partial curve; high efficacy,-5.15,1.331,0.9891,1125.94,0,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,1025.74,,2.668,2.161,4.1354,4.5965,4.9067,5.1605,20.9544,36.385,47.2819,93.8739,299.162,693.585,,814.77,410.735,1025.74,,,,,,,,,QC'd by SigmaAldrich
10,17390047,8341,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,Active,62,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080883-01/37961320,,Activator,14.1254,84.7751,,62,Complete curve; partial efficacy,-4.85,1,0.986,85.9476,1.1725,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,78.6764,0.4378,,0.4014,,0.405,0.825,0.6644,1.4907,2.7959,9.1465,12.3764,,23.5854,28.2674,46.5839,71.1851,78.6764,,,,,,,,,QC'd by NIEHS/NTP
