PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activation,Standard Deviation
1,4240859,3235911,C1=CSC(=C1)C2=CC(=NO2)C(=O)NCCCN3C=CN=C3,Active,100,,,457.64,12.5276
2,24789702,2962284,C1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCN3C=CN=C3,Active,70,,,323.24,34.1105
3,49644862,781243,COC1=CC(=C(C=C1)O)C2=NNC(=C2)C3=CC=CC=C3Cl,Active,59,,,272.59,10.8169
4,57261405,555237,C1=CC=C(C=C1)N2C(=C3C=CC(=CC3=[N+]2[O-])[N+](=O)[O-])C#N,Active,55,,,252.62,13.9651
5,49681699,2690,C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N,Active,54,,,247.9,11.2548
6,22402861,6065862,C1=CC2=C(C(=C1)[N+](=O)[O-])N=C(C=C2)/C=C/C3=CC=C(C=C3)F,Active,50,,,229.03,15.7382
7,56463774,65752,C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4,Active,48,,,222.84,16.2489
8,14722338,750407,C1=CC(=CC=C1NC(=O)C2=NSC(=C2Cl)Cl)F,Active,48,,,221.58,17.0233
9,24818736,5260643,C1=CN2C=C(N=C2C(=C1)[N+](=O)[O-])C3=CC=C(C=C3)Br,Active,46,,,214.3,19.9013
10,4255597,1245473,CC1=C(OC2=CC=CC=C12)C(=O)NC3=CC=CC=N3,Active,46,,,212.13,5.7513
11,26665303,328774,C1CCN(C1)CCN2C(=O)C3=CC=CC4=CC(=CC(=C43)C2=O)N,Active,44,,,201.39,14.6101
12,7976175,710911,CC1=[N+](C2=CC=CC=C2N(C1=O)OCC3=CC=CC=C3)[O-],Active,43,,,200.81,15.2879
13,26671667,3516456,C1=CC(=CC=C1NC2=NC(=C(C(=N2)NCCO)[N+](=O)[O-])N)Cl,Active,42,,,192.98,23.9027
14,49667054,921808,CC1=CC2=NN(N=C2C=C1N)C3=CC=C(C=C3)Cl,Active,41,,,191.73,8.25609
15,17504916,939148,C1=CC=C2C(=C1)C(=C(C2=O)C3=CC(=O)C4=CC=CC=C4N3)O,Active,41,,,191.49,4.72946
16,49670421,5237191,C#CCN1C2=CC=CC=C2C3=NC4=CC=CC=C4N=C31,Active,41,,,191.2,29.4286
17,4248944,5771437,C1=CC=C2C(=C1)C3=NC4=C(C=CC(=C4)F)N=C3N2,Active,41,,,189.16,9.12594
18,49666832,756794,CN1C2=CC=CC=C2N=C1CNC3=CC=C(C=C3)Br,Active,40,,,184.87,8.59295
19,3711653,2421435,CC1=C2C=C(C=CC2=NC=C1)C3=NC4=CC=CC=C4O3,Active,39,,,182.99,21.841
20,4246374,3240728,C1=CC=C2C(=C1)C(=O)N=C3N2NN=C3C4=CC=CC=C4F,Active,39,,,181.6,3.1847
21,47203915,869831,CCOC1=CC=C(C=C1)NC2=NC(=CS2)C3=CN=CC=C3,Active,39,,,180.92,10.8042
22,17504308,5921555,C1=CC(=C(C#N)C#N)N(C=C1)/C(=C\C2=CC=CO2)/C(=O)C3=CC=C(C=C3)Br,Active,39,,,180.4,3.01202
23,14731272,9550078,C1=CC=C(C=C1)C(=O)N/C(=N/C2=NC3=CC=CC=C3O2)/N,Active,39,,,180.18,11.1316
24,4262329,2980574,C1=CN2C(=C(C=N2)C(=O)NC3=NC=C(C=C3)Cl)N=C1,Active,39,,,179.24,2.65344
25,24790417,9594908,CC1=CC2=C(C=C1)N=C(C=C2C)N/N=C/C3=CC=CO3,Active,38,,,176.78,1.00738
26,24826269,9684263,CC1=C(C(=NO1)C)/C=N/NC2=NC3=CC=CC=C3C=C2,Active,38,,,176.17,14.3969
27,22404427,2916909,C1=CC=C2C(=C1)C(=C(O2)C(=O)C3=CC=C(C=C3)Br)N,Active,38,,,175.75,9.767
28,4251174,359838,C1=CC=C(C=C1)C2=CC(=NC(=N2)N)C3=CC=CC=C3O,Active,38,,,174.27,14.7998
29,24797068,965336,CNC(=O)C1=C(N=CN1)C(=O)NC2=CC=C(C=C2)Cl,Active,37,,,172.1,18.7801
30,22402273,852495,CC1=C(N=C2N1C=CC=C2)C3=CC=C(C=C3)Br,Active,37,,,171.57,9.3491
31,22416107,623089,C1=CC=C2C(=C1)C(=C(O2)C(=O)C3=CC=C(C=C3)Cl)N,Active,36,,,169.03,15.2384
32,3716091,761227,C1=CC=C2C(=C1)C=CC(=N2)C(=O)NC3=CC=CC=N3,Active,36,,,167.94,2.88943
33,14734508,807212,C1=CC=C(C=C1)OCCN2C(=O)C3=CC=CC=C3C2=O,Active,36,,,167.2,16.2001
