PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
1,103647957,9600409,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active,,,,0.62,EC50,=,620,nM,
2,440115294,142505463,C1=CC(=CC=C1C2=C(N3C=COC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active,,,,0.41,EC50,=,410,nM,
3,440120825,142505367,C1=CC=C2C(=C1)C=CC=C2C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active,,,,0.94,EC50,=,940,nM,
4,440121828,142505427,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=C(C=C(C=C5)Cl)Cl,Active,,,,1.5,EC50,=,1500,nM,
5,440125467,142505445,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)C(F)(F)F,Active,,,,0.47,EC50,=,470,nM,
6,440125992,142505465,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=CC=C5Cl,Active,,,,1.1,EC50,=,1100,nM,
7,440126204,142505365,CC(C)(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,2.4,EC50,=,2400,nM,
8,440128256,142505366,CC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.49,EC50,=,490,nM,
9,440128399,142505500,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)C(F)(F)F,Active,,,,0.88,EC50,=,880,nM,
10,440130607,155524131,C1CCC(CC1)C2=CC=C(C=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,100,EC50,>,100000,nM,
11,440130740,142505419,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active,,,,0.38,EC50,=,380,nM,
12,440131215,142505448,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)Cl,Active,,,,0.99,EC50,=,990,nM,
13,440131723,155524887,CC1(CCC(C2=C1C=CC(=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl)(C)C)C,Inactive,,,Potential missing data,,EC50,,,,Not Active
14,440133125,9633071,C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.58,EC50,=,580,nM,
15,440138848,142505480,COC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.49,EC50,=,490,nM,
16,440140803,142505421,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active,,,,0.37,EC50,=,370,nM,
17,440141861,142505504,C1=CC(=CC(=C1)Cl)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,1.1,EC50,=,1100,nM,
18,440144968,155533563,CC(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,0.59,EC50,=,590,nM,
19,440147592,142505390,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=C(C(=C(C(=C5F)F)F)F)F,Active,,,,1.7,EC50,=,1700,nM,
20,440147936,155535509,CC(C)(C)C1=CC=C(C=C1)CO/N=C/C2=C(N=C3N2C=CO3)C4=CC5=CC=CC=C5C=C4,Active,,,,7.9,EC50,=,7900,nM,
21,440148857,142505452,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Inactive,,,Potential missing data,,EC50,,,,Not Active
22,440185353,142505434,C1=CC=C(C=C1)CO/N=C/C2=C(N=C3N2C=CO3)C4=CC5=CC=CC=C5C=C4,Active,,,,0.84,EC50,=,840,nM,
23,440203616,142505355,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Br,Active,,,,0.48,EC50,=,480,nM,
24,440205438,142505361,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)F,Active,,,,0.67,EC50,=,670,nM,
25,440208966,142505396,C1C(CC2=CC=CC=C21)O/N=C/C3=C(N=C4N3C=CO4)C5=CC6=CC=CC=C6C=C5,Active,,,,0.98,EC50,=,980,nM,
26,440210881,142505438,C1=CC(=CC=C1C#N)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active,,,,3.4,EC50,=,3400,nM,
27,440220100,155269230,COC1=CC=C(C=C1)CO/N=C/C2=C(N=C3N2C=CO3)C4=CC5=CC=CC=C5C=C4,Active,,,,4.4,EC50,=,4400,nM,
28,440220426,142505400,CCC1=C(N2C=CSC2=N1)/C=N/OCC3=CC(=C(C=C3)Cl)Cl,Active,,,,2.6,EC50,=,2600,nM,
29,440222220,155566505,C1=CC=C(C=C1)OC2=CC=C(C=C2)CO/N=C/C3=C(N=C4N3C=CO4)C5=CC6=CC=CC=C6C=C5,Inactive,,,Potential missing data,,EC50,,,,Not Active
