SMILES,Agonist_Activity,SMILES_raw
Clc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,active,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl
Clc1ccc(-c2nc3occn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,active,C1=CC(=CC=C1C2=C(N3C=COC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl
Clc1ccc(CO/N=C/c2c(-c3cccc4ccccc34)nc3sccn23)cc1Cl,active,C1=CC=C2C(=C1)C=CC=C2C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl
Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)c(Cl)c1,active,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=C(C=C(C=C5)Cl)Cl
FC(F)(F)c1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,active,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)C(F)(F)F
Clc1ccccc1CO/N=C/c1c(-c2ccc3ccccc3c2)nc2occn12,active,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=CC=C5Cl
CC(C)(C)c1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,active,CC(C)(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl
Cc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,active,CC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl
FC(F)(F)c1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,active,C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)C(F)(F)F
Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3sccn23)cc1Cl,active,C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl
