SMILES,Agonist_Activity
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active
C1=CC(=CC=C1C2=C(N3C=COC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active
C1=CC=C2C(=C1)C=CC=C2C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=C(C=C(C=C5)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)C(F)(F)F,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=CC=C5Cl,Active
CC(C)(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
CC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)C(F)(F)F,Active
C1CCC(CC1)C2=CC=C(C=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Unspecified
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)Cl,Active
CC1(CCC(C2=C1C=CC(=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl)(C)C)C,Inactive
C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
COC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active
C1=CC(=CC(=C1)Cl)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
CC(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
