PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,PubChem Standard Value,IC50,Target Accession(s),Ligand,Target
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,TARGET_NCBI_PROTEIN_ACCESSION,STRING,STRING
RESULT_DESCR,,,,,,,,"Standardized activity type (i.e. Ki, IC50, Kd, or EC50)","PubChem standardized value transformed from the value of Ki, IC50, Kd, or EC50. The unit is always micromolar.",,Protein accession(s) of target,BindingDB Ligand,BindingDB Target
RESULT_UNIT,,,,,,,,,MICROMOLAR,NANOMOLAR,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,
1,46519988,447912,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,Active,,,,IC50,0.026,26,O75469,BDBM19993,Nuclear receptor subfamily 1 group I member 2
2,434319024,20865737,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)S(=O)(=O)C3=CC=C(C=C3)C(C)(C)C,Active,,,,IC50,0.21,210,O75469,BDBM429515,Nuclear receptor subfamily 1 group I member 2
3,494499492,169247981,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC=C(C=C3)C(C)(C)C,Active,,,,IC50,1.18,1180,O75469,BDBM50609744,Nuclear receptor subfamily 1 group I member 2
4,494499493,169248347,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC=CC(=C3)C(C)(C)C,Active,,,,IC50,0.65,650,O75469,BDBM50609745,Nuclear receptor subfamily 1 group I member 2
5,494499494,169248237,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC=CC=C3C(C)(C)C,Active,,,,IC50,2.97,2970,O75469,BDBM50609746,Nuclear receptor subfamily 1 group I member 2
6,494499495,169248349,CC1=CC(=CC=C1)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Inactive,,,,IC50,10.9,10900,O75469,BDBM50609747,Nuclear receptor subfamily 1 group I member 2
7,494499496,169248102,CCC1=CC(=CC=C1)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Inactive,,,,IC50,16.1,16100,O75469,BDBM50609748,Nuclear receptor subfamily 1 group I member 2
8,494499497,169247974,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC=CC(=C3)C(C)C,Active,,,,IC50,1.01,1010,O75469,BDBM50609749,Nuclear receptor subfamily 1 group I member 2
9,494499498,169247969,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC=C3)N(C)C,Inactive,,,,IC50,10.5,10500,O75469,BDBM50609750,Nuclear receptor subfamily 1 group I member 2
10,494499499,169248132,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC=C3)N4CCCC4,Active,,,,IC50,2.67,2670,O75469,BDBM50609751,Nuclear receptor subfamily 1 group I member 2
11,494499500,169248144,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC=C3)N4CCCCC4,Active,,,,IC50,9.37,9370,O75469,BDBM50609752,Nuclear receptor subfamily 1 group I member 2
12,494499501,169247998,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC=C3)N4C=CC=C4,Active,,,,IC50,1.41,1410,O75469,BDBM50609753,Nuclear receptor subfamily 1 group I member 2
13,494499502,169247928,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)C(C)(C)C)C(C)(C)C,Active,,,,IC50,0.21,210,O75469,BDBM50609754,Nuclear receptor subfamily 1 group I member 2
14,494499503,169248182,CCOC1=NC(=NC(=C1)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C)OCC,Inactive,,,,IC50,12.55,12550,O75469,BDBM50609755,Nuclear receptor subfamily 1 group I member 2
15,494499504,169248244,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)N)C(C)(C)C,Active,,,,IC50,3.01,3010,O75469,BDBM50609756,Nuclear receptor subfamily 1 group I member 2
16,494499505,169248314,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)NC)C(C)(C)C,Active,,,,IC50,0.33,330,O75469,BDBM50609757,Nuclear receptor subfamily 1 group I member 2
17,494499506,169248272,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)C(C)(C)C)N(C)C,Active,,,,IC50,0.27,270,O75469,BDBM50609758,Nuclear receptor subfamily 1 group I member 2
18,494499507,169248222,CCCCNC1=CC(=CC(=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.45,450,O75469,BDBM50609759,Nuclear receptor subfamily 1 group I member 2
19,494499508,169248267,CCCCN(CCCC)C1=CC(=CC(=C1)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C)C(C)(C)C,Active,,,,IC50,0.5,500,O75469,BDBM50609760,Nuclear receptor subfamily 1 group I member 2
20,494499509,169248123,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)C(C)(C)C)O,Active,,,,IC50,2.75,2750,O75469,BDBM50609761,Nuclear receptor subfamily 1 group I member 2
21,494499510,169248141,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)C(C)(C)C)OC,Active,,,,IC50,0.7,700,O75469,BDBM50609762,Nuclear receptor subfamily 1 group I member 2
22,494499511,169248014,CCCCOC1=CC(=CC(=C1)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C)C(C)(C)C,Active,,,,IC50,0.63,630,O75469,BDBM50609763,Nuclear receptor subfamily 1 group I member 2
23,494499513,169248238,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)C(C)(C)C)C#N,Active,,,,IC50,0.26,260,O75469,BDBM50609765,Nuclear receptor subfamily 1 group I member 2
24,494499514,169248189,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=C2)NC(=O)C3=C(N(N=N3)C4=C(C=CC(=C4)OC)OC)C)C(C)(C)C,Active,,,,IC50,2.43,2430,O75469,BDBM50609766,Nuclear receptor subfamily 1 group I member 2
25,494499515,169248313,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=CC(=C3)C(C)(C)C)C4=NNN=N4,Active,,,,IC50,2.41,2410,O75469,BDBM50609767,Nuclear receptor subfamily 1 group I member 2
26,494499516,169248251,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=C(C=C3)N)C(C)(C)C,Active,,,,IC50,4.12,4120,O75469,BDBM50609768,Nuclear receptor subfamily 1 group I member 2
27,494499517,169248254,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=C(C=C3)NC(=O)C)C(C)(C)C,Active,,,,IC50,1.81,1810,O75469,BDBM50609769,Nuclear receptor subfamily 1 group I member 2
28,494499518,169247964,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=C(C=C3)NC)C(C)(C)C,Active,,,,IC50,0.75,750,O75469,BDBM50609770,Nuclear receptor subfamily 1 group I member 2
29,494499519,169248152,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=C(C=C3)N(C)C)C(C)(C)C,Active,,,,IC50,0.47,470,O75469,BDBM50609771,Nuclear receptor subfamily 1 group I member 2
30,494499520,169248001,CCCCNC1=C(C=C(C=C1)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C)C(C)(C)C,Active,,,,IC50,0.73,730,O75469,BDBM50609772,Nuclear receptor subfamily 1 group I member 2
31,494499521,169247996,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=C(C=C3)O)C(C)(C)C,Active,,,,IC50,4.12,4120,O75469,BDBM50609773,Nuclear receptor subfamily 1 group I member 2
32,494499522,169248334,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=CC(=C(C=C3)OC)C(C)(C)C,Active,,,,IC50,2.97,2970,O75469,BDBM50609774,Nuclear receptor subfamily 1 group I member 2
33,494499523,169248285,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)NC(=O)C,Active,,,,IC50,3.22,3220,O75469,BDBM50609775,Nuclear receptor subfamily 1 group I member 2
34,494499524,169248241,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)NC(=O)OC(C)(C)C,Active,,,,IC50,0.36,360,O75469,BDBM50609776,Nuclear receptor subfamily 1 group I member 2
35,494499525,169248149,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)O,Active,,,,IC50,2.33,2330,O75469,BDBM50609777,Nuclear receptor subfamily 1 group I member 2
36,494499526,169248315,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)OC,Active,,,,IC50,1.12,1120,O75469,BDBM50609778,Nuclear receptor subfamily 1 group I member 2
37,494499527,169248280,CCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.167,167,O75469,BDBM50609779,Nuclear receptor subfamily 1 group I member 2
38,494499528,169247985,CCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.027,27,O75469,BDBM50609780,Nuclear receptor subfamily 1 group I member 2
39,494499529,169248086,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.022,22,O75469,BDBM50609781,Nuclear receptor subfamily 1 group I member 2
40,494499529,169248086,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.24,240,O75469,BDBM50609781,Nuclear receptor subfamily 1 group I member 2
41,494499530,169247937,CCCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.039,39,O75469,BDBM50609782,Nuclear receptor subfamily 1 group I member 2
42,494499531,169248044,CCCCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.027,27,O75469,BDBM50609783,Nuclear receptor subfamily 1 group I member 2
43,494499532,169247951,CCCCCCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)OC)C,Active,,,,IC50,0.58,580,O75469,BDBM50609784,Nuclear receptor subfamily 1 group I member 2
44,494499534,169248295,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)OCCCCO,Active,,,,IC50,1.24,1240,O75469,BDBM50609786,Nuclear receptor subfamily 1 group I member 2
45,494499535,169248125,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)OCCN(C)C,Active,,,,IC50,0.28,280,O75469,BDBM50609787,Nuclear receptor subfamily 1 group I member 2
46,494499537,169248100,CC1=C(N=NN1C2=C(C=CC(=C2)OC)OC)C(=O)NC3=C(C=CC(=C3)C(C)(C)C)OCCN4CCOCC4,Active,,,,IC50,0.54,540,O75469,BDBM50609789,Nuclear receptor subfamily 1 group I member 2
47,494499540,169248158,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)Cl)OC)C,Active,,,,IC50,0.016,16,O75469,BDBM50609792,Nuclear receptor subfamily 1 group I member 2
48,494499544,169247941,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)C)OC)C,Active,,,,IC50,0.014,14,O75469,BDBM50609796,Nuclear receptor subfamily 1 group I member 2
49,494499545,169248157,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)F)C,Active,,,,IC50,0.053,53,O75469,BDBM50609797,Nuclear receptor subfamily 1 group I member 2
50,494499546,169248326,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=C(C=CC(=C3)OC)Cl)C,Active,,,,IC50,0.016,16,O75469,BDBM50609798,Nuclear receptor subfamily 1 group I member 2
51,494499549,169248281,CCCCOC1=C(C=C(C=C1)C(C)(C)C)NC(=O)C2=C(N(N=N2)C3=CC=CC=C3)C,Active,,,,IC50,0.12,120,O75469,BDBM50609801,Nuclear receptor subfamily 1 group I member 2
