SMILES,Agonist_Activity
C[C@H]1[C@@H]2CN3CC[C@@]4([C@@H]3CC2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O,Active
CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.[Ca+2],Active
C[C@@H]1C[C@H](C2[C@@]([C@]1(CCC3=CC(=O)OC3)O)(CCCC2(C)C)C)OC(=O)C,Active
CC1=CC(=C(C=C1)O)O,Active
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Active
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](CCC3=C)O)C,Active
CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC,Active
C[C@H](CC[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](CCC3=C)O)C,Active
CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],Inconclusive
C=C1C[C@@H]([C@@H]2[C@@H]([C@@H]3[C@H]1C[C@@H](C3=C)O)OC(=O)C2=C)OC(=O)C(=C)CO,Inconclusive
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,Inconclusive
C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,Inconclusive
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)OC)OC,Inconclusive
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,Inconclusive
CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O,Inconclusive
CC(=CCC[C@](C)(C=C)O)C,Inconclusive
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,Inconclusive
CCCCCCCCC[C@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O,Inconclusive
CC(=CCC1CC2(C(=O)/C(=C(\C3=CC(=C(C=C3)O)O)/O)/C(=O)C(C2=O)(C1(C)C)CC=C(C)C)CC(CC=C(C)C)C(=C)C)C,Inconclusive
CO/C=C(\[C@H]1C[C@H]2[C@]3(CCN2C[C@@H]1C=C)C4=CC=CC=C4NC3=O)/C(=O)OC,Inconclusive
CO/C=C(\[C@H]1C[C@@H]2C3=C(CCN2C[C@@H]1C=C)C4=CC=CC=C4N3)/C(=O)OC,Inconclusive
C1=COC(=C1)C=O,Inconclusive
C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](CCC3=C)O)C,Inconclusive
CC1=CC[C@@H](C=C1)C(C)C,Inconclusive
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,Inconclusive
CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,Inconclusive
COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=O)O2)OC,Inconclusive
COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2,Inconclusive
COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,Inconclusive
CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,Inconclusive
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Inconclusive
C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45,Inconclusive
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,Inconclusive
CCCCCCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC,Inconclusive
CN1CC[C@@]23C=C(C(=O)C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)OC,Inconclusive
C[S+](CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Inconclusive
CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,Inconclusive
CC1=CC[C@@H](CC1)[C@@](C)(CCC=C(C)C)O,Inconclusive
C[C@]12C[C@@]3([C@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,Inconclusive
CC1=C(C(=C2C(=C1O)[C@]3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,Inconclusive
CCCCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC,Inconclusive
C1=CC(=C(C=C1/C=C/C(=O)O)O)O,Inconclusive
C[C@H]1CC[C@@H](C2=C(C[C@@H]([C@@H]12)O)C)/C=C(\C)/C(=O)O,Inconclusive
CC[C@@H]1CN2CC[C@]3([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)C4=CC=CC=C4NC3=O,Inconclusive
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O)O)O)O,Inactive
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)O)OC,Inactive
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,Inactive
CC1=CCC2CC1C2(C)C,Inactive
C1=CC(=CC=C1C(=O)O)N,Inactive
C1=CC=C(C=C1)/C=C/C=O,Inactive
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C,Inactive
CC1=CCC(CC1)C(C)(C)O,Inactive
CC(C(C1=CC=C(C=C1)O)O)NC.Cl,Inactive
C(C[C@@H](C(=O)O)N)CN=C(N)N,Inactive
CC1=CC=C(C=C1)C(C)C,Inactive
CCCCCC(=O)O,Inactive
CC(C)C1=CC=C(C=C1)C=O,Inactive
CC(=C)[C@H]1CCC(=CC1)C=O,Inactive
CC(=O)OC/C=C/C1=CC=CC=C1,Inactive
CC1([C@H]2CCC(=C)[C@@H]1C2)C,Inactive
CCCCCC(=O)CC,Inactive
CC1=CCC(CC1)(C(C)C)O,Inactive
CCCCCCCCCC=O,Inactive
C1=CC=C(C(=C1)C=O)O,Inactive
NN.OS(=O)(=O)O,Inactive
CC1=CCC(=C(C)C)CC1,Inactive
COC1=CC=CC=C1/C=C/C=O,Inactive
COC1=C(C=CC(=C1)CC=C)O,Inactive
CC1=CC(=C(C=C1)C(C)C)O,Inactive
CCCCCCCCCCCCCCCC(=O)O,Inactive
CCCCCCCCCCCCCCCCCC(=O)O,Inactive
C/C=C/C1=CC=C(C=C1)OC,Inactive
C1[C@H]([C@@H]([C@@H](C[C@]1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O,Inactive
C[C@@H]1CC[C@H](C2=C(CC[C@H]12)C)/C=C(\C)/C(=O)O,Inactive
COC1=CC(=O)O[C@H](C1)/C=C/C2=CC3=C(C=C2)OCO3,Inactive
COC1=C(C=C(C=C1)CC=C)OC,Inactive
CCCCCCCCCCCC(=O)O,Inactive
COC1=CC(=O)O[C@H](C1)/C=C/C2=CC=CC=C2,Inactive
COC1=CC(=O)OC(C1)CCC2=CC=CC=C2,Inactive
CC1=CCC(CC1O)C(=C)C,Inactive
CC(=CCCC(=C)C=C)C,Inactive
CCCCCCCCCCCCCC(=O)O,Inactive
CC1=CC[C@@H](CC1=O)C(=C)C,Inactive
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,Inactive
C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,Inactive
CC(=O)C1=C(C=C(C=C1)OC)O,Inactive
CCCCCCCCCC(=O)O,Inactive
C1=CC(=C(C(=C1)O)O)O,Inactive
CCCCCCCCCCCC(=O)OCC(CO)O,Inactive
C1=CC=C(C=C1)C=CCO,Inactive
CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,Inactive
C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Inactive
C[N+](C)(C)CCO.[Cl-],Inactive
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@@H]4C(C(C(C(O4)CO)O)O)O)O)O,Inactive
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,Inactive
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,Inactive
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,Inactive
CC(=C)[C@@H]1CCC(=CC1)CO,Inactive
CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O,Inactive
C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,Inactive
