SMILES,Agonist_Activity,SMILES_raw
COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@@H]3CC12,active,C[C@H]1[C@@H]2CN3CC[C@@]4([C@@H]3CC2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O
CC(C)(CO)C(O)C(=O)NCCC(=O)O,active,CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.CC(C)(CO)[C@H](C(=O)NCCC(=O)[O-])O.[Ca+2]
CC(=O)O[C@@H]1C[C@@H](C)[C@](O)(CCC2=CC(=O)OC2)[C@@]2(C)CCCC(C)(C)C12,active,C[C@@H]1C[C@H](C2[C@@]([C@]1(CCC3=CC(=O)OC3)O)(CCCC2(C)C)C)OC(=O)C
Cc1ccc(O)c(O)c1,active,CC1=CC(=C(C=C1)O)O
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,active,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,active,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,active,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](CCC3=C)O)C
CCCCC=CCC(=O)CCc1ccc(O)c(OC)c1,active,CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC
C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CC[C@H](C)C(C)C)CC[C@@H]12,active,C[C@H](CC[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](CCC3=C)O)C
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)cc(O)c12,inactive,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O)O)O)O
COc1cc2c(cc1O)C[C@H]1c3c(cc(OC)c(O)c3-2)CCN1C,inactive,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)O)OC
