PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0003880000 uM,Activity at 0.00117 uM,Activity at 0.00224 uM,Activity at 0.00351 uM,Activity at 0.00793 uM,Activity at 0.011 uM,Activity at 0.029 uM,Activity at 0.045 uM,Activity at 0.095 uM,Activity at 0.189 uM,Activity at 0.308 uM,Activity at 0.821 uM,Activity at 1.503 uM,Activity at 2.601 uM,Activity at 4.999 uM,Activity at 8.318 uM,Activity at 21.96 uM,Activity at 40.04 uM,Activity at 68.25 uM,Activity at 121.3 uM,Activity at 242.9 uM,Activity at 565.0 uM,Activity at 1133.4 uM,Activity at 2258.3 uM,Activity at 4077.1 uM,Activity at 4590.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,NCGC designation for compound QC
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,,,,,PERCENT,PERCENT,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.000388,0.00117,0.00224,0.00350518,0.00792947,0.0105654,0.0293525,0.0453545,0.0945801,0.1894,0.308006,0.820789,1.50313,2.60064,4.99859,8.31763,21.9622,40.0375,68.2463,121.267,242.856,564.999,1133.43,2258.27,4077.08,4590,
1,471431003,,,Active,87,http://assay.nih.gov/htsws/rest/display/DSHEA-v1-PXR-agonist-ONEGlo-TCM/NMIX00590351-01/259559956,,Activator,2.0258,117.583,,87,Complete curve; high efficacy,-5.6934,1.9887,0.9944,115.737,-1.8457,1.1,0 0 0 0 0 0 0 0 0 0 0 1,22.9614,-2.9787,-4.2587,,-4.1121,,-5.2881,3.4706,,0.4433,,4.7248,12.0391,,70.3915,,103.778,119.071,,22.9614,,,,,,,,QC'd by NCI-NPB
2,472319538,,,Active,86,http://assay.nih.gov/htsws/rest/display/DSHEA-v1-PXR-agonist-ONEGlo-DSHEA/NMIX00599544-01/259559081,,Activator,251.189,135.574,,86,Complete curve; high efficacy,-3.6,1.1,0.9862,131.733,-3.8406,1.1,0 0 0 0 0 0 0 0 0 0 1 0,132.262,,,,,,,,,,,,,,1.5991,-2.3672,-1.5418,1.3852,5.6802,23.717,49.1386,66.9038,99.0916,97.2372,49.6796,,132.262,QC'd by Spectrum Chemical
3,472319558,,,Active,85,http://assay.nih.gov/htsws/rest/display/DSHEA-v1-PXR-agonist-ONEGlo-DSHEA/NMIX00599566-01/259559065,,Activator,562.341,84.6466,,85,Complete curve; high efficacy,-3.25,2.2526,0.9738,82.1973,-2.4493,1.1,0 0 0 0 0 0 0 0 0 0 0 1,-31.7553,,,,,,,,,,,,,,-0.6458,-5.3744,-2.3806,-2.5716,-4.6355,-4.0296,3.2774,16.7233,25.0857,72.5171,81.0222,-31.7553,,QC'd by Spectrum Chemical
4,471431062,,,Active,84,http://assay.nih.gov/htsws/rest/display/DSHEA-v1-PXR-agonist-ONEGlo-TCM/NMIX00590410-01/259559419,,Activator,5.0886,106.011,,84,Complete curve; high efficacy,-5.2934,1.111,0.9956,99.2117,-6.7993,1.1,0 0 0 0 0 0 0 0 0 0 0 0,96.1353,-3.4037,-4.323,,-5.6795,,-5.4598,-7.2297,,-8.9994,,-2.7718,2.0898,,28.6949,,58.7317,79.1611,,96.1353,,,,,,,,QC'd by NCI-NPB
5,472319494,134823823,C[C@H]1[C@@H]2CN3CC[C@@]4([C@@H]3CC2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O,Active,82,http://assay.nih.gov/htsws/rest/display/DSHEA-v1-PXR-agonist-ONEGlo-DSHEA/NCGC00389843-01/259559236,,Activator,10,90.4957,,82,Complete curve; high efficacy,-5,1.6924,0.9912,90.9751,0.4794,1.1,0 0 0 0 0 0 0 0 0 0 0 0,87.6446,,,,,,,-0.2006,6.7042,0.9285,1.7864,-0.2802,-1.6838,3.059,8.8028,25.3854,53.6222,68.3352,87.6446,,,,,,,,,QC'd by Microsource
