Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM(g/mol),Operación,pLD50,,long_ref,,source_url,toxval_id,chemical_id
,Acetaldehyde,75-07-0,CC=O,DTXSID5039224,,1,1_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,1870,mg/kg-day,44.0528,0.0424,1.3721,,ARCH IND HYG OCCUP MED 10:61-68,,https://www.ng.cosmosdb.eu/,16161,ToxVal00029_350d25768c62c5fa
,Acetaldehyde,75-07-0,CC=O,DTXSID5039224,,2,2_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1232,mg/kg-day,44.0528,0.028,1.5534,,NAUCH TR KAZAN MED INST 24:26-27,,https://www.ng.cosmosdb.eu/,16162,ToxVal00029_350d25768c62c5fa
,Dehydroacetic acid,520-45-6,CC(C(C(C=C(C)O1)=O)C1=O)=O,DTXSID6020014,,3,3_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,500,mg/kg-day,168.148,0.003,2.5267,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 295,,https://www.ng.cosmosdb.eu/,16235,ToxVal00029_ffd7fe341ddb163a
,Polyacrylamide,08/05/9003,C=CC(N)=O,DTXSID7042308,,4,4_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,4000,mg/kg-day,71.0787,0.0563,1.2497,,TOXICOL APPL PHARMACOL 7:639-651,,https://www.ng.cosmosdb.eu/,16244,ToxVal00029_9d20390de60898c4
,ALLYL ISOTHIOCYANATE,-,C=CCN=C=S,NODTXSID,,5,5_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,148,mg/kg-day,99.1567,0.0015,2.8261,,SBJ,,https://www.ng.cosmosdb.eu/,16271,ToxVal00029_b8054f430cae4096
,ALLYL ISOTHIOCYANATE,-,C=CCN=C=S,NODTXSID,,6,6_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,103,mg/kg-day,99.1567,0.001,2.9835,,SBJ,,https://www.ng.cosmosdb.eu/,16272,ToxVal00029_b8054f430cae4096
,Allyl isovalerate,2835-39-4,CC(C)CC(OCC=C)=O,DTXSID4039233,,7,7_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,230,mg/kg-day,142.197,0.0016,2.7912,,FOOD COSMET TOXICOL 17:703,,https://www.ng.cosmosdb.eu/,16314,ToxVal00029_6778522d0b19479a
,Ammonium chloride,12125-02-9,N.Cl,DTXSID0020078,,8,8_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,cat,oral,=,1000,mg/kg-day,53.4918,0.0187,1.7283,,EXP MED SURG 4:223-227,,https://www.ng.cosmosdb.eu/,16339,ToxVal00029_97b867a935599c82
,Ammonium hydroxide,1336-21-6,N.O,DTXSID4020080,,9,9_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,350,mg/kg-day,35.0457,0.01,2.0006,,J IND HYG TOXICOL 23:259,,https://www.ng.cosmosdb.eu/,16342,ToxVal00029_3ba0efaadf3f26a8
,Ammonium hydroxide,1336-21-6,N.O,DTXSID4020080,,10,10_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,cat,oral,=,515,mg/kg-day,35.0457,0.0147,1.8328,,THE MERCK INDEX 64-65,,https://www.ng.cosmosdb.eu/,16343,ToxVal00029_3ba0efaadf3f26a8
,(E)-Anethole,4180-23-8,C/C=C/c(cc1)ccc1OC,DTXSID9020087,,11,11_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2090,mg/kg-day,148.204,0.0141,1.8507,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,16359,ToxVal00029_424357c1715e6d97
,(E)-Anethole,4180-23-8,C/C=C/c(cc1)ccc1OC,DTXSID9020087,,12,12_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,3050,mg/kg-day,148.204,0.0206,1.6866,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,16360,ToxVal00029_424357c1715e6d97
,(E)-Anethole,4180-23-8,C/C=C/c(cc1)ccc1OC,DTXSID9020087,,13,13_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,2160,mg/kg-day,148.204,0.0146,1.8364,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,16361,ToxVal00029_424357c1715e6d97
