Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,Resveratrol,501-36-0,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,DTXSID4031980,,1,1_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1000,mg/kg,228.246,0.0044,2.3584,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,913020,ToxVal00035_c28ecfbe79fa660c
,3-Hydroxy-5-(2-(4-hydroxyphenyl)ethenyl)phenyl-beta-D-glucopyranoside,65914-17-2,,DTXSID20897454,,2,2_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,913021,ToxVal00035_112987b4476f0743
,Emodin,518-82-1,Cc(cc1C(c2cc(O)cc(O)c22)=O)cc(O)c1C2=O,DTXSID5025231,,3,3_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1000,mg/kg,270.239,0.0037,2.4317,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,913022,ToxVal00035_54f3f0330e51f88e
,Emodin 1-O-beta-D-glucoside,38840-23-2,Cc(cc1C(c2cc(O)cc(O)c22)=O)cc(O[C@@H]([C@@H]([C@H]3O)O)O[C@H](CO)[C@H]3O)c1C2=O,DTXSID201020031,,4,4_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1000,mg/kg,432.38,0.0023,2.6359,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,913023,ToxVal00035_68cb3096bde86a1f
,Physcione,521-61-9,COc(cc1C(c2c3ccc(O)c2)=O)cc(O)c1C3=O,DTXSID20200101,,5,5_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1000,mg/kg,270.239,0.0037,2.4317,,Peer review of the pesticide risk assessment of the active substance Reynoutria sachalinensis extract 20150911,https://doi.org/doi:10.2903/j.efsa.2015.4221,,913024,ToxVal00035_ea9d2a678c11d2b5
,2-Phenylphenol,90-43-7,Oc(cccc1)c1-c1ccccc1,DTXSID2021151,,6,6_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,>,2250,mg/kg-day,170.21,0.0132,1.8788,,Peer review of the pesticide risk assessment of the active substance 2-phenylphenol 20090406,https://doi.org/doi:10.2903/j.efsa.2009.217r,,913045,ToxVal00035_e9cc4219120d58bf
,Phosalone,2310-17-0,CCOP(OCC)(SCN(c(ccc(Cl)c1)c1O1)C1=O)=S,DTXSID1024259,,7,7_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,12.4,ug/piece,367.813,0.0000,4.4722,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance phosalone 20060306,https://doi.org/doi:10.2903/j.efsa.2006.60r,,913057,ToxVal00035_26b09bc64fa1d367
,Isopyrazam,881685-58-1,CC(C)C(C(CC1)c2ccc3)C1c2c3NC(c1c[n](C)nc1C(F)F)=O,DTXSID7058208,,8,8_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,2000,mg/kg-day,359.419,0.0056,2.2546,,Conclusion on the peer review of the pesticide risk assessment of the active substance isopyrazam 20120329,https://doi.org/doi:10.2903/j.efsa.2012.2600,,913075,ToxVal00035_3f528712db6ebc87
,8-Hydroxyquinoline,148-24-3,Oc1cccc2cccnc12,DTXSID5020730,,9,9_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,311,mg/kg,145.161,0.0021,2.6691,,Conclusion on the peer review of the pesticide risk assessment of the active substance 8-hydroxyquinoline 20110128,https://doi.org/doi:10.2903/j.efsa.2011.1964,,913080,ToxVal00035_fd207d1e383292f7
,8-Hydroxyquinoline,148-24-3,Oc1cccc2cccnc12,DTXSID5020730,,10,10_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,1070.32,mg/kg-day,145.161,0.0074,2.1323,,Conclusion on the peer review of the pesticide risk assessment of the active substance 8-hydroxyquinoline 20110128,https://doi.org/doi:10.2903/j.efsa.2011.1964,,913081,ToxVal00035_fd207d1e383292f7
,8-Hydroxyquinoline,148-24-3,Oc1cccc2cccnc12,DTXSID5020730,,11,11_EFSADB,EFSA,EFSA,acute,human health,mouse,oral,=,177,mg/kg,145.161,0.0012,2.9139,,Conclusion on the peer review of the pesticide risk assessment of the active substance 8-hydroxyquinoline 20110128,https://doi.org/doi:10.2903/j.efsa.2011.1964,,913082,ToxVal00035_fd207d1e383292f7
,8-Hydroxyquinoline sulfate,134-31-6,Oc1cccc2cccnc12.OS(O)(=O)=O,DTXSID6025436,,12,12_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,68.64,ug/piece,243.238,0.0003,3.5495,,Peer review of the pesticide risk assessment of the active substance 8-hydroxyquinoline 20160613,https://doi.org/doi:10.2903/j.efsa.2016.4493,,913083,ToxVal00035_309edfb24fa72db1
,8-Hydroxyquinoline sulfate,134-31-6,Oc1cccc2cccnc12.OS(O)(=O)=O,DTXSID6025436,,13,13_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,243.238,0.0004,3.3860,,Peer review of the pesticide risk assessment of the active substance 8-hydroxyquinoline 20160613,https://doi.org/doi:10.2903/j.efsa.2016.4493,,913084,ToxVal00035_309edfb24fa72db1
,Isopyrazam,881685-58-1,CC(C)C(C(CC1)c2ccc3)C1c2c3NC(c1c[n](C)nc1C(F)F)=O,DTXSID7058208,,14,14_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg-day,359.419,0.0056,2.2546,,Conclusion on the peer review of the pesticide risk assessment of the active substance isopyrazam 20120329,https://doi.org/doi:10.2903/j.efsa.2012.2600,,913092,ToxVal00035_3f528712db6ebc87
,Emamectin B1B,121424-52-0,CC(C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@H]1NC,DTXSID80153265,,15,15_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0027,ug/piece,872.102,0.0000,8.5092,,Conclusion on the peer review of the pesticide risk assessment of the active substance emamectin 20121121,https://doi.org/doi:10.2903/j.efsa.2012.2955,,913106,ToxVal00035_b48eb63900f4d7e9
,Emamectin B1A,121124-29-6,CC[C@H](C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1NC,DTXSID80153164,,16,16_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0027,ug/piece,886.129,0.0000,8.5161,,Conclusion on the peer review of the pesticide risk assessment of the active substance emamectin 20121121,https://doi.org/doi:10.2903/j.efsa.2012.2955,,913107,ToxVal00035_dc95dc869e028d60
,Thiabendazole,148-79-8,c1c(-c2nc(cccc3)c3[nH]2)nc[s]1,DTXSID0021337,,17,17_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,200,ug/piece,201.253,0.0010,3.0027,,Conclusion on the peer review of the pesticide risk assessment of the active substance thiabendazole 20141104,https://doi.org/doi:10.2903/j.efsa.2014.3880,,913111,ToxVal00035_a66b6a8967aba557
,Dimethenamid,87674-68-8,CC(COC)N(C(CCl)=O)c1c(C)[s]cc1C,DTXSID4032376,,18,18_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,94,ug/piece,275.799,0.0003,3.4675,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance dimethenamid 20060123,https://doi.org/doi:10.2903/j.efsa.2006.53r,,913207,ToxVal00035_4436f50c12b6bdcc
,Asulam-sodium,2302-17-2,COC(NS(c(cc1)ccc1N)(=O)=O)=O.[Na+],DTXSID1034420,,19,19_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,123.7,ug/piece,253.233,0.0005,3.3112,,Peer review of the pesticide risk assessment of the active substance asulam (variant evaluated asulam-sodium) 20180420,https://doi.org/doi:10.2903/j.efsa.2018.5251,,913260,ToxVal00035_2683590f4be51513
,Asulam-sodium,2302-17-2,COC(NS(c(cc1)ccc1N)(=O)=O)=O.[Na+],DTXSID1034420,,20,20_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,253.233,0.0004,3.4035,,Peer review of the pesticide risk assessment of the active substance asulam (variant evaluated asulam-sodium) 20180420,https://doi.org/doi:10.2903/j.efsa.2018.5251,,913261,ToxVal00035_2683590f4be51513
,Propoxycarbazone-sodium,181274-15-7,CCCONNC(N=N)=O.[Na],DTXSID9034864,,21,21_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,109.5,ug/piece,169.139,0.0006,3.1888,,Peer review of the pesticide risk assessment of the active substance propoxycarbazone (variant evaluated propoxycarbazone-sodium) 20161114,https://doi.org/doi:10.2903/j.efsa.2016.4612,,913267,ToxVal00035_7414860f895ade4a
,Propoxycarbazone-sodium,181274-15-7,CCCONNC(N=N)=O.[Na],DTXSID9034864,,22,22_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,169.139,0.0006,3.2282,,Peer review of the pesticide risk assessment of the active substance propoxycarbazone (variant evaluated propoxycarbazone-sodium) 20161114,https://doi.org/doi:10.2903/j.efsa.2016.4612,,913268,ToxVal00035_7414860f895ade4a
,Dimethenamid-P,163515-14-8,CC(COC)N(C(CCl)=O)c1c(C)[s]cc1C,DTXSID2034542,,23,23_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,118.8,ug/piece,275.799,0.0004,3.3658,,Peer review of the pesticide risk assessment of the active substance dimethenamid-P 20180412,https://doi.org/doi:10.2903/j.efsa.2018.5211,,913289,ToxVal00035_c95bf62811fa9516
