Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,"Propanoic acid, 2-methyl-, methyl ester",547-63-7,CC(C)C(OC)=O,DTXSID5060275,,1,1_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,16000,mg/kg,102.132,0.1567,0.8050,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Patty, 1982a) (Patty, 1982a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59978,ToxVal00036_2816dfcd3dba842d
,Ethyl isobutyrate,97-62-1,CCOC(C(C)C)=O,DTXSID7047728,,2,2_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,116.159,0.0430,1.3661,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1975b) (Moreno, 1975b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59979,ToxVal00036_e613b17a2bf34621
,Propyl isobutyrate,644-49-5,CCCOC(C(C)C)=O,DTXSID30214653,,3,3_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,15000,mg/kg,130.186,0.1152,0.9385,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59980,ToxVal00036_10a8d4f551aa6afe
,"Propanoic acid, 2-methyl-, butyl ester",97-87-0,CCCCOC(C(C)C)=O,DTXSID9073888,,4,4_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,144.213,0.0347,1.4600,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Levenstein, 1974a) (Levenstein, 1974a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59981,ToxVal00036_80f35e90819c837c
,Hexyl isobutyrate,2349-07-7,CCCCCCOC(C(C)C)=O,DTXSID2047519,,5,5_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,172.267,0.0290,1.5372,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59982,ToxVal00036_245071b0414d7e1f
,"Propanoic acid, 2-methyl-, octyl ester",109-15-9,CCCCCCCCOC(C(C)C)=O,DTXSID6059364,,6,6_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,200.321,0.0250,1.6028,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Levenstein, 1974a) (Levenstein, 1974a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59983,ToxVal00036_314fb1a6f2a1b88f
,Isobutyl isobutyrate,97-85-8,CC(C)COC(C(C)C)=O,DTXSID6026612,,7,7_EFSA2DB,EFSA2,-,acute,human health,"rat,mouse",oral,=,12800,mg/kg,144.213,0.0888,1.0518,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Patty, 1982a) (Patty, 1982a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59984,ToxVal00036_7e44a902ef6355d6
,"Butanoic acid, 3-methyl-, methyl ester",556-24-1,CC(C)CC(OC)=O,DTXSID5060300,,8,8_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,5690,mg/kg,116.159,0.0490,1.3099,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59985,ToxVal00036_35e36831b551f550
,Ethyl isovalerate,108-64-5,CCOC(CC(C)C)=O,DTXSID3047057,,9,9_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,130.186,0.0384,1.4156,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Levenstein, 1976a) (Levenstein, 1976a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59986,ToxVal00036_00df1fa0b38b9010
,Ethyl isovalerate,108-64-5,CCOC(CC(C)C)=O,DTXSID3047057,,10,10_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,7030,mg/kg,130.186,0.0540,1.2676,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59987,ToxVal00036_00df1fa0b38b9010
,Propyl isovalerate,557-00-6,CCCOC(CC(C)C)=O,DTXSID70204230,,11,11_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,8220,mg/kg,144.213,0.0570,1.2441,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59988,ToxVal00036_28cd5ad6e3eab734
,Butyl 3-methylbutanoate,109-19-3,CCCCOC(CC(C)C)=O,DTXSID9047621,,12,12_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,158.24,0.0316,1.5003,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59989,ToxVal00036_b6ef9947a505477f
,Butyl 3-methylbutanoate,109-19-3,CCCCOC(CC(C)C)=O,DTXSID9047621,,13,13_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,8230,mg/kg,158.24,0.0520,1.2839,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59990,ToxVal00036_b6ef9947a505477f
,"Butanoic acid, 3-methyl-, 2-methylpropyl ester",589-59-3,CC(C)CC(OCC(C)C)=O,DTXSID5060431,,14,14_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,5000,mg/kg,158.24,0.0316,1.5003,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59991,ToxVal00036_35ab80a68c774834
,"Butanoic acid, 3-methyl-, 2-methylpropyl ester",589-59-3,CC(C)CC(OCC(C)C)=O,DTXSID5060431,,15,15_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,6970,mg/kg,158.24,0.0440,1.3561,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59992,ToxVal00036_35ab80a68c774834
