Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species ,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,URL,,ToxVal_ID,Chemical_ID
,"Aldehydes, C2-4, condensation products with acetone, dehydrated, hydrogenated, distn. residues",68990-20-5,,DTXSID0028953,,1,1_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,Dragoco Gerberding and Co. GmbH (2000) Acute toxicity studyof 2-tridecanone by oral administration to Sprague-Dawley rats.Unpublished report.,https://chemview.epa.gov/chemview/,,173487,ToxVal00045_db882cc49ef58e99
,"Aldehydes, C2-4, condensation products with acetone, dehydrated, hydrogenated, distn. residues",68990-20-5,,DTXSID0028953,,2,2_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3450,mg/kg,,#¡DIV/0!,#¡DIV/0!,,Exxon Chemical Americas (1982) Unpublished report toEnvironmental Protection Agency.,https://chemview.epa.gov/chemview/,,173488,ToxVal00045_db882cc49ef58e99
,4-Methylstyrene,622-97-9,Cc1ccc(C=C)cc1,DTXSID3020889,,3,3_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,1150,mg/kg,118.178,0.0097,2.0118,,"Oral LD50 of Para-Methylstyrene (PMS) in Swiss-Webster Mice after a Single Exposure: Effect of Corn Oil/Olive Oil Vehicle and Comparison of Three PMS Samples. Mobile Environmental and Health Science Laboratory #441-80,December 18, 1980.",https://chemview.epa.gov/chemview/,,173490,ToxVal00045_722a520821c606c4
,4-Methylstyrene,622-97-9,Cc1ccc(C=C)cc1,DTXSID3020889,,4,4_HPVIS,HPVIS,-,acute,human health,rat,intravenous,>,3160,mg/kg,118.178,0.0267,1.5728,,"Acute Intravenous Toxicity Study in Male and Female Rats: MCTR-112-79. Hazleton Laboratories America, Inc. #230-198, December 21, 1979. MI 121-79.",https://chemview.epa.gov/chemview/,,173491,ToxVal00045_722a520821c606c4
,4-Methylstyrene,622-97-9,Cc1ccc(C=C)cc1,DTXSID3020889,,5,5_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,1072.2,mg/kg,118.178,0.0091,2.0423,,"Acute Oral Toxicity (LD50) Study in Mice with MCTR-86-79. International Research and Development Corporation #450-003, December 12, 1979. M862-79",https://chemview.epa.gov/chemview/,,173492,ToxVal00045_722a520821c606c4
,2-Ethyl-1-hexanol,104-76-7,CCCCC(CC)CO,DTXSID5020605,,6,6_HPVIS,HPVIS,-,acute,human health,guinea pig,oral,=,1220,mg/kg,130.23,0.0094,2.0284,,"Schmidt P, et al. (1974). Z Ges Hyg 20, 575-578.Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: Final revised submission posted June 12, 2006; First test plan revision posted April 26, 2004; initial submission posted February 6, 2002.",https://chemview.epa.gov/chemview/,,173494,ToxVal00045_889e3aebeba4f421
,Zinc chloride,7646-85-7,[Cl-].[Cl-].[Zn+2],DTXSID2035013,,7,7_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1100,mg/kg,136.296,0.0081,2.0931,,"Domingo, J.L., J.M. Llobet, J.l. Paternain, and J. Corbella. 1988. Acute zinc intoxication: comparison of the antidotal efficacy of several chelating agents. Vet. Hum. Toxicol., 30(3): 224-228.Original posting date(s) of the category on the in the HPV Challenge web site: January 23, 2003. Posting date(s) of revised documents from the HPV Challenge web site from which data have been entered into the HPVIS: Feb. 8, 2005. These documents were received by EPA on Jan. 06, 2004. Posting date(s) of final documents from the HPV Challenge web site from which data have been entered into the HPVIS: Jan. 1, 2007. These documents were received by EPA on Dec. 12, 2006",https://chemview.epa.gov/chemview/,,173495,ToxVal00045_30ea674d6683ec87
,"Isooctadecanoic acid, reaction products with tetraethylenepentamine",68784-17-8,,DTXSID6028810,,8,8_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2,-,,#¡DIV/0!,#¡DIV/0!,,"Unpublished confidential business informationSource document indicated last updated: April 3, 2003.",https://chemview.epa.gov/chemview/,,173496,ToxVal00045_3d6433bd158fa143
,1-Piperazineethanol,103-76-4,OCCN1CCNCC1,DTXSID3021853,,9,9_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,=,16,-,130.19,0.0001,3.9105,,"Heman, E.R. and Weil, C.S. (1975). N-(2-hydroxyethyl)piperazine Range finding toxicity and 7-day dietary inclusion studies. Unpublished report of Carnegie-Mellon Institute of Research.",https://chemview.epa.gov/chemview/,,173499,ToxVal00045_dc4140c71dc62bb2
,1-Hexanol,111-27-3,CCCCCCO,DTXSID8021931,,10,10_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5000,mg/kg,102.176,0.0489,1.3104,,"Primaerliteratur cited in: Henkel KGaA, unpublished data, Archive-No. TBD 910457.Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: Final revised submission posted June 12, 2006; First test plan revision posted April 26, 2004; initial submission posted February 6, 2002.",https://chemview.epa.gov/chemview/,,173500,ToxVal00045_b683f4cefd13a418
,Dimethyl succinate,106-65-0,COC(CCC(OC)=O)=O,DTXSID5025152,,11,11_HPVIS,HPVIS,-,acute,human health,rat,oral,<,5000,mg/kg,146.141,0.0342,1.4658,,"Bio/dynamics Inc. (1992). Acute Oral Toxicity in Rats (DMS, Dimethyl Succinate). Submitted to Monsanto Company Reference Numbers: 92-6320, BD-92-245, October 22, 1992.Additional References for Acute Oral Toxicity:Rat LD50 = 6892 mg/kg b.wt. IUCLID (2000) Rat LD50 > 5000 mg/kg b.wt. IUCLID (2000)",https://chemview.epa.gov/chemview/,,173501,ToxVal00045_3ee26089372e3a8e
,"Hexanol, branched and linear",68526-79-4,CC(C)CCCO,DTXSID3028683,,12,12_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2600,mg/kg,102.176,0.0254,1.5944,,"Hazleton Laboratories (1960). Acute oral administration, acute dermal application, and acute inhalation exposure. Unpublished report.",https://chemview.epa.gov/chemview/,,173502,ToxVal00045_1e0caf31d476522d
,Dimethyl succinate,106-65-0,COC(CCC(OC)=O)=O,DTXSID5025152,,13,13_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,5000,mg/kg,146.141,0.0342,1.4658,,"Bio/dynamics Inc. (1992). Acute Dermal Toxicity in Rabbits (DMS, Dimethyl Succinate). Submitted to Monsanto Company Reference Numbers: 92-6321, BD-92-245, October 22, 1992.Additional References for Acute Dermal Toxicity:Rabbit Dermal LD50 > 5000 mg/kg b.wt. IUCLID (2000)",https://chemview.epa.gov/chemview/,,173503,ToxVal00045_3ee26089372e3a8e
,"Alkenes, C20-24 alpha-",93924-10-8,CCCCCCCCCCCCCCCCCCC=C,DTXSID6029834,,14,14_HPVIS,HPVIS,-,acute,human health,rat,oral,>,15,-,280.538,0.0001,4.2719,,"Research Institute of Organic Synthesis a.s (1990) Pardubice, Czech republic, Test No. T2102 (unpublished report).",https://chemview.epa.gov/chemview/,,173504,ToxVal00045_c478067842ef28f7
,Anhydrosorbitol stearate,1338-41-6,CCCCCCCCCCCCCCCCCC(OCC([C@H]([C@H]1O)OC[C@H]1O)O)=O,DTXSID1027396,,15,15_HPVIS,HPVIS,-,acute,human health,rat,oral,>,15900,mg/kg,430.623,0.0369,1.4327,,"Confidential business information. However, findings have been cited by Elder RL (1985). Final report on the safety assessment of sorbitan stearate, sorbitan laurate, sorbitan sesquioleate, sorbitan oleate, sorbitan tristearate, sorbitan palmitate, and sorbitan trioleate, J. Amer. Coll. Toxicol. 4(3): 65-121.",https://chemview.epa.gov/chemview/,,173506,ToxVal00045_a4cf7a2b1336eb50
,3-Phenylprop-2-enal,104-55-2,O=CC=Cc1ccccc1,DTXSID1024835,,16,16_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,=,620,mg/kg,132.162,0.0047,2.3287,,"Shelanski, M. and Moldovan, M. (1973). Report to RIFM by Food and Drug Research Laboratories. Feb 16, 1973.",https://chemview.epa.gov/chemview/,,173507,ToxVal00045_d90988fcce046518
,2-Phenylethanol,60-12-8,OCCc1ccccc1,DTXSID9026342,,17,17_HPVIS,HPVIS,-,acute,human health,guinea pig,oral,=,400,mg/kg,122.166,0.0033,2.4849,,"Fassett D.W. (1963) Personal communication. In Industrial Hygiene and Toxicology, 1476-1477.",https://chemview.epa.gov/chemview/,,173508,ToxVal00045_afcd8a5158860e2f
,4-Methylstyrene,622-97-9,Cc1ccc(C=C)cc1,DTXSID3020889,,18,18_HPVIS,HPVIS,-,acute,human health,dog,oral,>,5000,mg/kg,118.178,0.0423,1.3736,,"An Acute Toxicity Study with MCTR-88-79 in Dogs. Bio/dynamics Inc. #79-2406, November 15, 1979. M880-79.",https://chemview.epa.gov/chemview/,,173509,ToxVal00045_722a520821c606c4
,"Phenol, heptyl derivs.",72624-02-3,CCCCCCCc(cc1)ccc1O,DTXSID2029036,,19,19_HPVIS,HPVIS,-,acute,human health,rat,oral,>,200,mg/kg,192.301,0.0010,2.9830,,"Biosearch Incorporated., P.O. Box 8598, Philadelphia, Pennsylvania 1910, USA. Acute Oral Toxicity in rats of the subject material. Project No. 82-3108A-1, 82-3108A-2 and 82-3108A.",https://chemview.epa.gov/chemview/,,173510,ToxVal00045_51507af8ae78111a
,"Phenol, heptyl derivs.",72624-02-3,CCCCCCCc(cc1)ccc1O,DTXSID2029036,,20,20_HPVIS,HPVIS,-,acute,human health,rat,oral,<,2000,mg/kg,192.301,0.0104,1.9830,,"Biosearch Incorporated., P.O. Box 8598, Philadelphia, Pennsylvania 1910, USA. Acute Oral Toxicity in rats of the subject material. Project No. 82-3108A-1, 82-3108A-2 and 82-3108A.",https://chemview.epa.gov/chemview/,,173511,ToxVal00045_51507af8ae78111a
,"Phenol, heptyl derivs.",72624-02-3,CCCCCCCc(cc1)ccc1O,DTXSID2029036,,21,21_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,192.301,0.0104,1.9830,,"Biosearch Incorporated., P.O Box 8598, Philadelphia, Pennsylvania 1910, USA, Acute Dermal Toxicity , Single level -Rabbits. Project No. 85-4762A.",https://chemview.epa.gov/chemview/,,173512,ToxVal00045_51507af8ae78111a
,"Naphtha, petroleum, catalytic reformed",68955-35-1,,DTXSID3028924,,22,22_HPVIS,HPVIS,-,acute,human health,rat,oral,=,5.39,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"American Petroleum Institute (1985)Acute oral toxicity study in rats, acute dermal toxicity study in rabbits, primary dermal irritation study in rattis, primary eye irritation study in rabbits in API 83-05 full range catalytically reformed naphtha.Study conducted by Hazleton Laboratories America, Inc.API Med research publication No. 32-31474, April 1985.",https://chemview.epa.gov/chemview/,,173513,ToxVal00045_42c8add5e5e02517
,Pentyl 2-hydroxybenzoate,2050-08-0,CCCCCOC(c(cccc1)c1O)=O,DTXSID9029227,,23,23_HPVIS,HPVIS,-,acute,human health,rat,oral,=,4100,mg/kg,208.256,0.0197,1.7058,,(8) Moreno O.M. (1982a) Oral toxicity in rats. Unpublished report to RIFM.,https://chemview.epa.gov/chemview/,,173515,ToxVal00045_9149772353a994c0
,Methyl benzoate,93-58-3,COC(c1ccccc1)=O,DTXSID5025572,,24,24_HPVIS,HPVIS,-,acute,human health,rabbit,oral,=,2170,mg/kg,136.15,0.0159,1.7976,,"(8) Graham B.E. and Kuizenga, M.H. (1945) Toxicity studies of benzyl benzoate and related benzyl compounds. J Pharm Exp Ther., 84, 358-62.",https://chemview.epa.gov/chemview/,,173516,ToxVal00045_a88cd4b54cb000c5
,"Benzene, polypropene derivs.",68081-77-6,,DTXSID5028372,,25,25_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2,-,,#¡DIV/0!,#¡DIV/0!,,This robust summary was prepared from an unpublished study by an individual member company of the HERTG (the underlying study contains confidential business information).,https://chemview.epa.gov/chemview/,,173518,ToxVal00045_8e2bb92d383020d7
,"Benzene, polypropene derivs.",68081-77-6,,DTXSID5028372,,26,26_HPVIS,HPVIS,-,acute,human health,rat,oral,>,5,-,,#¡DIV/0!,#¡DIV/0!,,This robust summary was prepared from an unpublished study by an individual member company of the HERTG (the underlying study contains confidential business information).,https://chemview.epa.gov/chemview/,,173519,ToxVal00045_8e2bb92d383020d7
,Potassium acetate,127-08-2,CC([O-])=O.[K+],DTXSID7027043,,27,27_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3250,mg/kg,98.1418,0.0331,1.4800,,"1) Smyth, H.F., Jr., Carpenter, C.P., Weil, C.S., Pozzani, U.C., Striegel, J.A., and Nycum, J.S. 1969. Range-finding toxicity data: List VII. Am. Ind. Hyg. Assoc. J. 30:470-476.2) Smyth, H.F. Jr., Carpenter, C.P., Weil, C.S., Pozzani,, U.C., and Striegel, J.A. 1962. Range-finding toxicity data: List VI. Amer. Ind. Hyg. Assoc. J. 23:95-207.",https://chemview.epa.gov/chemview/,,173520,ToxVal00045_59709e290574516f
,Malic acid,6915-15-7,OC(CC(O)=O)C(O)=O,DTXSID0027640,,28,28_HPVIS,HPVIS,-,acute,human health,"other,mouse, rat",oral,=,1600,mg/kg,134.087,0.0119,1.9233,,"Eastman Kodak. 1981. Health Safety and Human Factors Laboratory, Rochester, New York. In BIBRA. 1992. Toxicology profile: Malic acid and its common salts. BIBRA International.",https://chemview.epa.gov/chemview/,,173521,ToxVal00045_efe8eea62c247f5f
,1-(tert-Dodecylthio)-2-propanol,67124-09-8,CC(CSCCCCCCCCC(C)(C)C)O,DTXSID2028303,,29,29_HPVIS,HPVIS,-,acute,human health,rat,oral,>,5,-,260.484,0.0000,4.7168,,This robust summary was prepared from an unpublished study by an individual member company of the HERTG (the underlying study contains confidential business information).,https://chemview.epa.gov/chemview/,,173522,ToxVal00045_e0395eaab11661e4
,Bis(2-ethylhexyl) maleate,142-16-5,CCCCC(CC)COC(/C=C\C(OCC(CC)CCCC)=O)=O,DTXSID2027094,,30,30_HPVIS,HPVIS,-,acute,human health,rat,oral,>,10,-,340.502,0.0000,4.5321,,-,https://chemview.epa.gov/chemview/,,173524,ToxVal00045_155fa2efde547e3f
,Sorbitan trioleate,26266-58-0,CCCCCCCC/C=C\CCCCCCCC(OC[C@@H]([C@@H]([C@H]1OC(CCCCCCC/C=C\CCCCCCCC)=O)OC[C@H]1O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O,DTXSID6027892,,31,31_HPVIS,HPVIS,-,acute,human health,rat,oral,>,39800,mg/kg,957.51,0.0416,1.3813,,-,https://chemview.epa.gov/chemview/,,173525,ToxVal00045_82ce376e21171967
,Propylene carbonate,108-32-7,CC(CO1)OC1=O,DTXSID2026789,,32,32_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,3000,mg/kg,102.089,0.0294,1.5319,,"Mallory, V.T., Matthews, R.J., 1986. Acute Dermal Toxicity Test in Rabbits (14 day), Pharmakon Research International Final Report PH 422-TX-006-86, pp. 1-15.",https://chemview.epa.gov/chemview/,,173526,ToxVal00045_9e91dbbd3d3a673a
,"Nitriles, coco",61789-53-5,,DTXSID6028076,,33,33_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2,-,,#¡DIV/0!,#¡DIV/0!,,KENOGARD. 1985. Huntingdon Research Center report number 85298D/KND 4/AC. Cited in IUCLID (update 23-Oct-95).,https://chemview.epa.gov/chemview/,,173528,ToxVal00045_f55da72a53beac77
,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, 2-[3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-1-oxopropyl]hydrazide",32687-78-8,CC(C)(C)c1cc(CCC(NNC(CCc(cc2C(C)(C)C)cc(C(C)(C)C)c2O)=O)=O)cc(C(C)(C)C)c1O,DTXSID6027979,,34,34_HPVIS,HPVIS,-,acute,human health,rat,oral,>,7000,mg/kg,552.797,0.0127,1.8975,,"Acute Oral LD50 in the Rat, Ciba-Geigy Ltd., March 19, 1980.",https://chemview.epa.gov/chemview/,,173529,ToxVal00045_f583c66a90dcf955
