Structure,Molecule name,CAS,SMILES,ID_base,,ID_asignado,ID_concatenado,DB source,DB soubsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Mode of action,Data Base source reference
,2-aminobutane,,CCC(C)N,6,,1,1_PPDB,PPDB,,acute,,rat,oral,=,350,mg/kg,73.1383,0.0048,2.3201,Fumigant,
,Ammonium carbonate,,C(=O)([O-])[O-].[NH4+].[NH4+],33,,#¡REF!,4_PPDB,PPDB,,acute,,rat,oral,=,2150,mg/kg,96.0855,0.0224,1.6502,"As a fungicide it is a protectant, inhibiting fungal spores and pathogens from entering the host tissues",
,Anilazine (Ref: ENT 26 058),,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,39,,#¡REF!,5_PPDB,PPDB,,acute,,rat,oral,=,4570,mg/kg,275.526,0.0166,1.7802,"Non-systemic with protective action, enzyme inhibitor. Multi-site activity.",
,Anthracene oil,,C1=CC=C2C=C3C=CC=CC3=CC2=C1,40,,#¡REF!,6_PPDB,PPDB,,acute,,rat,oral,=,1955,mg/kg,178.233,0.0110,1.9598,Contact action,
,Azaconazole,,C1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,45,,#¡REF!,7_PPDB,PPDB,,acute,,rat,oral,=,308,mg/kg,300.144,0.0010,2.9888,Sterol biosynthesis inhibitor,
,Benalaxyl (Ref: M 9834),,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2,59,,#¡REF!,9_PPDB,PPDB,,acute,,rat,oral,=,680,mg/kg,325.407,0.0021,2.6799,"Systemic with protective, curative and eradicant action. Disrupts fungal nucleic acid synthesis - RNA ploymerase 1",
,Binapacryl (Ref: FMC 9044),,CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+](=O)[O-])[N+](=O)[O-],79,,#¡REF!,13_PPDB,PPDB,,acute,,rat,oral,=,58,mg/kg,322.316,0.0002,3.7449,"Non-systemic. As a miticide it works with ovicidal action, uncoupling or inhibiting oxidative phosphorylation. Respiration inhibitor.",
,Biphenyl,,C1=CC=C(C=C1)C2=CC=CC=C2,82,,#¡REF!,14_PPDB,PPDB,,acute,,rat,oral,=,2140,mg/kg,154.211,0.0139,1.8577,"Inhibits sporulation, lipid peroxidation",
,Bromuconazole (Ref: LS 860263),,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,97,,#¡REF!,18_PPDB,PPDB,,acute,,rat,oral,=,328,mg/kg,377.068,0.0009,3.0605,Systemic. Sterol biosynthesis inhibitor.,
,Bronopol,,C(C(CO)([N+](=O)[O-])Br)O,98,,#¡REF!,19_PPDB,PPDB,,acute,,rat,oral,=,254,mg/kg,199.988,0.0013,2.8962,Inhibition of dehydrogenase activity causes membrane damage,
,Bupirimate (Ref: PP 588),,CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C,99,,#¡REF!,20_PPDB,PPDB,,acute,,rat,oral,=,4000,mg/kg,316.425,0.0126,1.8982,Systemic with curative and protectant action. Nucleic acid synthesis - adenosin-deaminase.,
,Calcium hydroxide,,[OH-].[OH-].[Ca+2],110,,#¡REF!,23_PPDB,PPDB,,acute,,rat,oral,=,7340,mg/kg,74.0919,0.0991,1.0041,"Non-selective, phytotoxic",
,Carboxin (Ref: D 735),,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,122,,#¡REF!,28_PPDB,PPDB,,acute,,rat,oral,=,2588,mg/kg,235.306,0.0110,1.9587,"Systemic, inhibits mitochondrial function. Succinate Dehydrogenase Inhibitor.",
,Chloroneb,,COC1=CC(=C(C=C1Cl)OC)Cl,145,,#¡REF!,30_PPDB,PPDB,,acute,,rat,oral,=,11000,mg/kg,207.056,0.0531,1.2747,"Systemic, absorbed via rots. Lipid peroxidation inhibitor.",
,Copper II acetate,,CC(=O)[O-].CC(=O)[O-].[Cu+2],172,,#¡REF!,33_PPDB,PPDB,,acute,,rat,oral,=,710,mg/kg,181.634,0.0039,2.4079,"Protective, inhibiting fungal spores and pathogens from entering the host tissues. Multi-site activity.",
,Copper II chloride,,Cl[Cu]Cl,174,,#¡REF!,35_PPDB,PPDB,,acute,,rat,oral,=,140,mg/kg,134.452,0.0010,2.9824,"Protective, inhibiting fungal spores and pathogens from entering the host tissues. Multi-site activity.",
,Copper oxychloride,,O(Cl)Cl.[Cu+2],177,,#¡REF!,38_PPDB,PPDB,,acute,,rat,oral,=,299,mg/kg,150.451,0.0020,2.7017,Absorbed copper disrupts the enzyme systems of pathogens. Multi-site activity.,
,Cymoxanil (Ref: DPX T3217),,CCNC(=O)NC(=O)C(=NOC)C#N,196,,#¡REF!,42_PPDB,PPDB,,acute,,rat,oral,=,356,mg/kg,198.181,0.0018,2.7456,Foliar with protective and curative activity.,
,Dazomet (Ref: N 521),,CN1CN(C(=S)SC1)C,203,,#¡REF!,45_PPDB,PPDB,,acute,,rat,oral,=,415,mg/kg,162.28,0.0026,2.5922,Releases methyl isothiocyanate,
,Dichlorophen,,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,217,,#¡REF!,47_PPDB,PPDB,,acute,,rat,oral,=,2690,mg/kg,269.126,0.0100,2.0002,Contact,
,Difenoconazole (Ref: CGA 169374),,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,230,,#¡REF!,50_PPDB,PPDB,,acute,,rat,oral,=,1453,mg/kg,406.268,0.0036,2.4465,Systemic with preventative and curative action. Disrupts membrane function - inhibition of demethylation during ergosterol synthesis.,
