Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,Source URL,ToxVal_ID,Chemical_ID
,Hymexazol,10004-44-1,Cc1cc(O)n[o]1,DTXSID3032622,,1,1_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,3900,mg/kg,99.0887,0.0394,1.4050,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928580,ToxVal00025_266cdfaf95901ed5
,Chlorpropham,101-21-3,CC(C)OC(Nc1cccc(Cl)c1)=O,DTXSID7020764,,2,2_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,213.663,0.0234,1.6308,,IARC 12; Joint FAO/WHO Meeting on Pesticide Residues Report 2001; International Chemical Safety Card 1500,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928581,ToxVal00025_37b62cb20a2e9da5
,Acrinathrin,101007-06-1,CC(C)([C@@H]1/C=C\C(OC(C(F)(F)F)C(F)(F)F)=O)[C@H]1C(O[C@H](c1cc(Oc2ccccc2)ccc1)C#N)=O,DTXSID3041584,,3,3_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,541.443,0.0092,2.0346,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928582,ToxVal00025_f2260bae3ec11f0d
,Mercury chloride (Hg2Cl2),10112-91-1,Cl[Hg].Cl[Hg],DTXSID6044351,,4,4_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,210,mg/kg,472.086,0.0004,3.3518,,International Chemical Safety Card 984; Concise International Chemical Assessment Document  50,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928583,ToxVal00025_dffca6e72dae302c
,Cycloxydim,101205-02-1,CCC/C(\C(C(CC(C1)C2CSCCC2)=O)=C1O)=N\OCC,DTXSID0057918,,5,5_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,3900,mg/kg,325.471,0.0120,1.9214,,Joint FAO/WHO Meeting on Pesticide Residues Report 1993,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928584,ToxVal00025_73c56373ad033860
,Simetryn,1014-70-6,CCNc1nc(SC)nc(NCC)n1,DTXSID8037596,,6,6_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1830,mg/kg,213.308,0.0086,2.0666,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928585,ToxVal00025_fe77083dd3f0ad43
,Flufenoxuron,101463-69-8,O=C(c(c(F)ccc1)c1F)NC(Nc(ccc(Oc(ccc(C(F)(F)F)c1)c1Cl)c1)c1F)=O,DTXSID1041978,,7,7_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,3000,mg/kg,488.77,0.0061,2.2120,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928586,ToxVal00025_633bcd9b7522c6cc
,Methamidophos,10265-92-6,COP(N)(SC)=O,DTXSID6024177,,8,8_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,30,mg/kg,141.131,0.0002,3.6725,,"Health and Safety Guide 79; International Chemical Safety Card 176; Joint FAO/WHO Meeting on Pesticide Residues Report 1991, 2003b",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928587,ToxVal00025_16d40ffbc937a656
,tau-Fluvalinate,102851-06-9,CC(C)[C@H](C(OC(c1cc(Oc2ccccc2)ccc1)C#N)=O)Nc(ccc(C(F)(F)F)c1)c1Cl,DTXSID7037555,,9,9_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,3000,mg/kg,502.919,0.0060,2.2244,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928588,ToxVal00025_736fc46f68e85625
,Fenchlorazole-ethyl,103112-35-2,CCOC(c(nc1C(Cl)(Cl)Cl)n[n]1-c(ccc(Cl)c1)c1Cl)=O,DTXSID6041268,,10,10_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,403.48,0.0124,1.9069,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928589,ToxVal00025_4c0e145888d179f6
