CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
15625.0,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,active,0.002238608,54.23432049,inactive,,0.0,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl
11219835.0,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,active,0.004915874,40.5503939,inactive,,0.0,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F
134018.0,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,active,0.039048175,36.02134645,inactive,,0.0,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O
71750.0,Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,active,0.163534628,43.96358481,active agonist,12.501,84.8439,C1C2=C(C=CC(=C2)N)N=C3N1C(=O)C4=CC=CC=C43
153939.0,NC(=O)N(O)[C@@H]1COc2cc(OCc3ccccc3)ccc21,active,0.330819988,24.57079327,inactive,,0.0,C1[C@H](C2=C(O1)C=C(C=C2)OCC3=CC=CC=C3)N(C(=O)N)O
90547.0,NNc1ccc(C(=O)O)cc1,active,0.509709843,44.60374407,inactive,,0.0,C1=CC(=CC=C1C(=O)O)NN.Cl
19646.0,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1,active,0.530803864,43.79624313,active antagonist,25.6016,-36.3497,C1=CSC(=C1)C(=O)NC2=NC=C(S2)[N+](=O)[O-]
41684.0,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,active,0.555791368,42.28539033,active antagonist,21.2934,-71.5709,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]
5377793.0,CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,active,0.693058675,23.44734303,inactive,,0.0,CN(C)C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)[N+](=O)[O-]
6450551.0,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)[nH]nc2c1,active,0.749780386,67.57701705,inactive,,0.0,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4
8341.0,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,active,0.809556853,33.81552342,inconclusive antagonist,51.4731,-36.7238,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N
17811.0,CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,active,0.815189184,36.19518688,inconclusive antagonist,54.4827,-47.4951,CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C
2161.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,active,0.87417975,39.64691387,inactive,,0.0,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
4477.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,active,0.919622794,40.41970881,active antagonist,3.80431,-58.8319,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
15277.0,COc1ccc(N=[N+]([O-])c2ccc(OC)cc2)cc1,active,0.996528447,42.00291176,inactive,,0.0,COC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OC)[O-]
